brand,model,model_year,milage,fuel_type,price
Toyota,GR Corolla Circuit Edition,2023,1532.09,Gasoline,4145850
Audi,RS 5 2.9T,2019,34182.38,Gasoline,4975850
Porsche,Cayenne Base,2019,95495.02,Gasoline,3527417
Lamborghini,Huracan Tecnica Coupe,2023,410.38,Gasoline,29879253
Maserati,Quattroporte S,2019,37384.97,Gasoline,3734917
Jaguar,XF 35t R-Sport,2017,77248.32,Gasoline,2490000
Lexus,ES 330 Base,2005,66077.89,Gasoline,921300
Land,Rover Discovery Sport SE R-Dynamic,2020,34182.38,Gasoline,3153834
Porsche,Cayman GTS,2015,18507.41,Gasoline,5976000
Genesis,G90 3.3T Premium,2021,16012.93,Gasoline,4477850
Volkswagen,Golf R 20th Anniversary Edition,2023,1018.71,Gasoline,3983917
Hyundai,Sonata Hybrid Limited,2015,106216.44,Hybrid,1319700
Audi,RS 7 4.0T Prestige,2014,96101.74,Gasoline,3735000
BMW,740 Li,2012,137199.45,Gasoline,1535500
Mercedes-Benz,GLS 450 Base 4MATIC,2020,28807.19,Hybrid,6640000
BMW,M6 Base,2016,41038.17,Gasoline,4565000
Subaru,Forester 2.5 X,2004,339092.77,Gasoline,190900
Hyundai,Elantra N Base,2023,6115.49,Gasoline,2822000
Kia,Niro Plug-In Hybrid EX Premium,2022,58905.06,Hybrid,2655585
Rivian,R1S Adventure Package,2023,4506.15,,7636000
Aston,Martin DBS Superleggera,2021,3484.22,Gasoline,23235850
Mercedes-Benz,SLC 300 Base,2018,53108.22,Gasoline,2481700
BMW,435 Gran Coupe i,2016,122324.32,Gasoline,2070850
Jeep,Grand Cherokee Summit,2020,50451.2,Gasoline,3267378
Lexus,RC 350 Base,2015,77248.32,Gasoline,2730700
BMW,525 i,2005,147125.86,Gasoline,738700
Toyota,Corolla LE,2003,200774.82,Gasoline,414585
Cadillac,CT5-V Blackwing,2023,3886.56,Gasoline,8706700
GMC,Acadia SLT-1,2012,187047.15,Gasoline,655700
Lexus,LC 500 Base,2020,60944.1,Gasoline,6303850
BMW,i8 Base,2019,66787.61,Plug-In Hybrid,7138000
Lexus,ES 300h Base,2013,140014.19,Hybrid,1493585
Cadillac,CT5-V V-Series,2022,7163.17,Gasoline,4619365
BMW,540 i xDrive,2020,43706.46,Gasoline,3319834
Chevrolet,Express 1500 Work Van,2014,224992.17,Gasoline,1203500
Jeep,Gladiator Rubicon,2022,43934.98,Gasoline,3942500
BMW,Z4 sDrive28i,2014,59243.02,Gasoline,2241000
Land,Rover LR4 HSE LUX Landmark Edition,2016,231744.96,Gasoline,1494000
Cadillac,XT4 Sport,2019,71615.63,Gasoline,2398700
BMW,750 750i xDrive,2021,17569.16,Gasoline,6141834
Bentley,Arnage R,2005,13409.02,Gasoline,3930050
Lincoln,Aviator Reserve AWD,2020,82473.85,Gasoline,3958934
Mercedes-Benz,AMG GL AMG GL 63 4MATIC,2016,111044.46,Gasoline,3029500
RAM,ProMaster 3500 High Roof,2021,237915.17,Gasoline,2710946
Ford,Utility Police Interceptor Base,2013,168980.7,E85 Flex Fuel,547800
Audi,A5 2.0T Premium,2011,148385.98,Gasoline,829585
Nissan,GT-R Premium,2010,25105.7,Gasoline,5768500
Land,Rover Range Rover Sport 3.0L Supercharged HSE,2018,168497.9,Gasoline,2554325
Toyota,Corolla LE,2010,116432.53,Gasoline,829585
Rivian,R1S Adventure Package,2023,4023.35,,7802000
Mercedes-Benz,C-Class C300 4MATIC,2022,21206.27,Gasoline,3718234
Porsche,Cayenne E-Hybrid S,2016,154496.64,Plug-In Hybrid,1909000
Chevrolet,Express 1500 Work Van,2011,149683.1,E85 Flex Fuel,1867085
INFINITI,Q70h Base,2016,84892.68,Hybrid,2406834
Audi,A7 Premium Plus,2020,40814.47,Hybrid,4149834
Audi,Q7 3.0T Premium Plus,2015,158563.44,Gasoline,829585
Lucid,Air Pure,2023,2092.14,,7212700
Chrysler,Pacifica Touring,2017,140503.43,–,747000
Audi,TTS 2.0T Premium Plus,2012,117356.29,Gasoline,2157917
BMW,650 Gran Coupe i xDrive,2015,65982.94,Gasoline,2490000
Subaru,Forester Premium,2021,67793.45,Gasoline,2315617
Mercedes-Benz,AMG C AMG C 63,2016,99779.08,Gasoline,3320000
Land,Rover LR3 HSE,2006,247585.69,Gasoline,825850
BMW,X7 xDrive40i,2019,56726.02,Gasoline,4481834
Ford,Transit Connect XLT,2015,312942.6,Gasoline,820704
Lexus,LX 570 Three-Row,2021,33796.14,Gasoline,7469917
Porsche,911 Carrera S,2013,29763.13,Gasoline,7212700
Dodge,Ram 2500 Laramie Quad Cab,2006,350836.12,Gasoline,1078170
Nissan,Armada SL,2021,109113.25,Gasoline,3029500
Porsche,Cayman Base,2014,127137.86,Gasoline,3568917
Mercedes-Benz,GLE 450 GLE 450,2022,40082.22,Hybrid,5311834
Chevrolet,Monte Carlo SS,2006,107568.29,Gasoline,996000
BMW,M5 Base,2013,138403.24,Gasoline,2656000
Hyundai,Kona N Base,2023,1052.51,Gasoline,2871717
Chevrolet,Monte Carlo SS,2005,120700.5,Gasoline,1037500
Land,Rover Range Rover Evoque Pure,2015,135184.56,Gasoline,1892400
Audi,S7 4.0T Premium Plus,2017,84490.35,Gasoline,3319917
GMC,Acadia SLT-1,2011,193120.8,Gasoline,622500
Alfa,Romeo Stelvio Ti Sport,2020,30038.33,Gasoline,2958535
Ferrari,FF Base,2016,32165.88,Gasoline,12441700
Kia,K900 5.0L,2017,58718.38,Gasoline,1987850
Ford,E150 XLT,2013,260874.01,E85 Flex Fuel,1037500
Tesla,Model 3 Performance,2022,21048.56,,3901000
Toyota,4Runner SR5,2022,45668.24,Gasoline,3070917
Subaru,Forester Base,2020,52696.23,Gasoline,1992000
Porsche,Panamera 2,2012,86904.36,Gasoline,2158000
Toyota,Tacoma PreRunner,2008,325175.19,Gasoline,705500
RAM,2500 Laramie,2019,104607.1,Diesel,5395000
Kia,Sportage Nightfall,2022,15588.07,Gasoline,2572170
Cadillac,DTS Base,2010,79855.45,Gasoline,871417
Toyota,Land Cruiser Base,1997,342789.42,Gasoline,2199500
Nissan,GT-R Premium,2020,25765.53,Gasoline,9462000
Lexus,NX 350 F SPORT Handling,2023,1319.66,Gasoline,4315834
Audi,Q7 45 Premium Plus,2021,109435.12,Gasoline,3029417
Lexus,LX 470 Base,1999,131965.88,Gasoline,2075000
GMC,Terrain SLE,2022,44018.67,Gasoline,2306155
Ford,Escape Limited,2012,207604.86,Gasoline,581000
Lexus,LS 460 L,2014,171766.47,Gasoline,2490000
Ford,Expedition Platinum,2019,55799.04,Gasoline,3776500
Chevrolet,Malibu LTZ,2010,89962.11,Gasoline,742850
Audi,RS 7 4.0T quattro,2023,5082.3,Gasoline,10698700
Audi,A5 2.0T Premium Plus,2015,131965.88,Gasoline,1411000
Genesis,G70 2.0T,2023,7700.69,Gasoline,3556550
Chevrolet,Trailblazer LS,2021,32986.64,Gasoline,1908917
Scion,tC Base,2013,285818.78,Gasoline,589300
Lincoln,MKZ Hybrid Base,2014,126442.63,Hybrid,1286500
Ford,Transit-350 XL,2018,152887.3,E85 Flex Fuel,3569000
Porsche,911 GT2 RS,2018,7288.7,Gasoline,34652500
Ford,Explorer Timberline,2021,40619.74,Gasoline,3315933
Volvo,XC90 3.2,2011,142104.72,Gasoline,954500
Chevrolet,Avalanche LTZ,2013,157715.32,E85 Flex Fuel,2282417
Audi,TT RS 2.5T,2018,33273.1,Gasoline,6308000
Lincoln,Navigator L,2008,152887.3,Gasoline,904700
Hyundai,Elantra GLS,2010,172199.38,Gasoline,518750
Audi,SQ5 3.0T Premium Plus,2016,96560.4,Gasoline,2050100
Mitsubishi,Lancer Evolution GSR,2012,53108.22,Gasoline,2904917
Tesla,Model Y Performance,2023,804.67,,4980000
Mercedes-Benz,Maybach S S 600,2016,174613.39,Gasoline,5270500
Nissan,GT-R Premium,2017,60833.05,Gasoline,12408500
Mercedes-Benz,GLS 550 Base 4MATIC,2018,119770.3,Gasoline,3718234
Chevrolet,Blazer Premier,2019,89513.1,Gasoline,2868646
Mazda,CX-9 Grand Touring,2021,75167.44,Gasoline,2700903
Ford,Expedition Max Limited,2022,42647.51,Gasoline,5469700
Nissan,Titan XD SV,2020,16095.01,Gasoline,3918762
Lexus,LX 570 Three-Row,2019,30657.93,Gasoline,6382700
Chevrolet,Traverse Premier,2020,83685.68,Gasoline,2971400
Mercedes-Benz,Sprinter High Roof,2014,104607.1,Diesel,4564917
BMW,X5 3.0i,2004,225307.6,Gasoline,558590
Ford,Fusion SE,2018,121666.1,Gasoline,1240850
Lincoln,MKZ Base,2015,188762.71,Gasoline,996000
Ford,GT,2005,3052.92,Gasoline,35689834
Genesis,G90 5.0 Ultimate,2017,41842.84,Gasoline,2788800
Lexus,LC 500 Base,2022,3332.94,Gasoline,8295850
Ford,Shelby GT500 Base,2014,25152.37,Gasoline,5137700
Saturn,Sky Base,2008,24172.29,Gasoline,1535500
Audi,RS Q8 4.0T quattro,2022,18220.95,Gasoline,9951700
Toyota,Land Cruiser,2016,81047.97,Gasoline,5477834
Mercedes-Benz,SL-Class SL 550,2013,185074.1,Gasoline,2988000
Porsche,911 Carrera C2S,2005,45866.19,Gasoline,5270500
Mercedes-Benz,AMG GLA 45 Base 4MATIC,2018,83202.88,Gasoline,2656000
Ford,Taurus X Limited,2008,239709.58,Gasoline,323700
BMW,440 Gran Coupe i,2018,63247.06,Gasoline,2635250
Honda,S2000 CR,2008,132485.7,Gasoline,2365500
Acura,Integra w/A-Spec Tech Package,2023,5751.78,Gasoline,2904834
Ford,Excursion Limited,2001,175992.59,Gasoline,1058167
Mercedes-Benz,SL-Class SL500 Roadster,2004,74029.64,Gasoline,1564799
Mercedes-Benz,CLS-Class CLS 550,2007,198129.07,Gasoline,8714917
INFINITI,G35 Sport,2007,59706.51,Gasoline,1402700
Volkswagen,Golf GTI 2.0T S 4-Door,2016,143231.26,Gasoline,1203500
Dodge,Challenger R/T Scat Pack,2022,1995.58,Gasoline,4473700
Lincoln,Navigator L Reserve,2019,107943.26,Gasoline,3983917
Maserati,Ghibli S Q4,2015,46188.06,Gasoline,2066700
Tesla,Model X Base,2023,13196.59,,7801917
Mercedes-Benz,AMG G 63 Base,2018,65982.94,Gasoline,9038700
Ford,Expedition Limited,2018,159316.61,Gasoline,2904834
Volkswagen,Routan SE,2012,199260.43,Gasoline,415000
Bugatti,Veyron 16.4 Grand Sport,2011,10187.12,Gasoline,161932585
Toyota,Highlander XLE,2020,98718.52,Gasoline,2828972
Honda,Civic LX,2016,155257.86,Gasoline,1294717
Jeep,Wrangler Unlimited Sahara,2017,106388.64,Gasoline,2600473
Land,Rover Range Rover Supercharged,2008,183926.64,Gasoline,821700
Acura,ILX 2.0L w/Premium Package,2015,120700.5,Gasoline,1203500
BMW,M6 Base,2016,73707.77,Gasoline,3054400
Polestar,2 Launch Edition,2021,19588.89,,2987917
BMW,X6 sDrive35i,2016,113590.44,Gasoline,2905000
Porsche,Cayman S,2014,53249.84,Gasoline,4129250
Lincoln,Corsair Grand Touring,2021,2977.28,Plug-In Hybrid,4067000
Cadillac,DTS Luxury II,2008,151527.41,Gasoline,871500
Cadillac,ATS 3.6L Luxury,2016,40233.5,Gasoline,1493917
GMC,Sierra 1500 SLT,2016,160129.33,Gasoline,2323585
INFINITI,G37 x,2009,255183.39,Gasoline,726250
Ford,Transit-350 XLT,2023,32186.8,Gasoline,6515417
Cadillac,XTS Luxury,2018,75173.88,Gasoline,1730550
Nissan,NV Passenger NV3500 HD SL V8,2017,74827.87,Gasoline,3403000
Mercedes-Benz,GLS 450 Base 4MATIC,2019,31864.93,Gasoline,4465400
Toyota,Land Cruiser Base,2008,281634.5,Gasoline,3145700
Toyota,Land Cruiser Base,2016,98974.41,Gasoline,5270500
RAM,ProMaster 2500 Window Van High Roof,2016,80064.66,Gasoline,5395000
Lamborghini,Gallardo Base,2007,62442.39,Gasoline,8300000
Lincoln,MKZ Base,2011,134806.37,Gasoline,746585
Mercedes-Benz,EQS 450 4MATIC,2023,11889.8,,8756500
Lamborghini,Huracan Tecnica Coupe,2023,447.4,Gasoline,29879253
Alfa,Romeo Giulia Quadrifoglio,2022,3163.96,Gasoline,6299700
Chevrolet,Trailblazer LT,2021,81509.85,Gasoline,1991585
Toyota,Land Cruiser Base,1993,372562.21,–,2448500
Lamborghini,Urus Base,2021,22035.08,Gasoline,21331000
INFINITI,G37 x,2013,96653.74,Gasoline,1245000
Maserati,Levante S,2017,87585.11,Gasoline,2817850
Toyota,Highlander Limited,2022,38625.77,Gasoline,3942334
Nissan,Armada SL,2022,23713.62,Gasoline,4232834
Audi,Q5 Premium,2023,3902.65,Hybrid,3568834
Ford,Shelby GT500 Base,2022,3299.15,Gasoline,7884917
Lincoln,Navigator L Reserve,2019,104373.75,Gasoline,3900585
Mercedes-Benz,EQS 450+ Base,2022,26132.46,,5185757
RAM,1500 Laramie,2022,29050.2,Gasoline,3983585
Lincoln,Town Car Base,2004,58779.53,Gasoline,1236700
Acura,TLX w/A-Spec Package,2022,23972.73,Gasoline,3319834
Toyota,Camry Hybrid LE,2022,22608.01,Hybrid,2489917
Honda,CR-V EX,2003,360492.16,Gasoline,323700
Mercedes-Benz,E-Class E 550,2014,129682.23,Gasoline,2158000
Mazda,MX-5 Miata Grand Touring,2007,131000.28,Gasoline,913000
Porsche,718 Boxster Base,2019,10782.58,Gasoline,5229000
Ford,Transit-350 XLT,2015,230135.62,Gasoline,1867500
Kia,Sportage SX Turbo,2017,141367.64,Gasoline,1551104
INFINITI,G37 S Sport,2010,187409.25,Gasoline,1369500
Nissan,Titan XD S,2019,86384.54,Gasoline,2315700
Audi,S7 2.9T Prestige,2021,19312.08,Hybrid,6432500
Land,Rover Discovery HSE,2019,32241.52,Gasoline,3651834
Ford,Transit-350 XLT,2020,51498.88,Diesel,5644000
INFINITI,Q70 3.7,2014,113155.91,Gasoline,1659585
Jeep,Gladiator Rubicon,2022,14152.54,Gasoline,4482000
Lincoln,MKX Base,2010,251057.04,Gasoline,489700
Porsche,911 Carrera 4S,2020,41147.61,Gasoline,11204917
Mercedes-Benz,AMG C 43 Base 4MATIC,2018,107986.71,Gasoline,2842750
Porsche,Cayman Base,2014,83685.68,Gasoline,3071000
Acura,MDX 3.7L Advance,2011,220801.45,Gasoline,996000
Volkswagen,Golf R 4-Door w/DCC & Navigation,2018,57936.24,Gasoline,2656000
Kia,Forte GT-Line,2023,24944.77,Gasoline,2033500
BMW,M8 Competition,2020,17551.46,Gasoline,8050834
Lincoln,MKC Select,2019,80167.66,Gasoline,2203235
BMW,i8 Base,2015,1361.5,Plug-In Hybrid,7220917
Toyota,Highlander XLE,2021,107888.54,Gasoline,2875535
Mazda,CX-30 Premium Package,2023,4242.22,Gasoline,2368405
Porsche,Cayenne Platinum Edition,2018,80734.15,Gasoline,3614650
Lincoln,MKZ Reserve,2017,60149.08,Gasoline,2282500
Tesla,Model 3 Standard Range Plus,2021,34761.74,,2573000
Porsche,718 Cayman S,2019,15288.73,Gasoline,5727000
Chevrolet,Corvette Base,2005,230288.51,Gasoline,1328000
Acura,RSX Type S,2002,128747.2,Gasoline,705500
Ferrari,Roma Base,2021,4828.02,Gasoline,22825000
Porsche,Cayman S,2007,9424.3,Gasoline,3735000
Rolls-Royce,Phantom Drophead Coupe Drophead,2013,4760.43,Gasoline,40577040
Audi,SQ7 4.0T,2022,46553.38,Gasoline,6216700
Mercedes-Benz,AMG GLS 63 4MATIC,2022,6601.51,Hybrid,12007112
Honda,Ridgeline RTL-E,2021,23242.09,Gasoline,3195500
Mercedes-Benz,CLK-Class 500 Cabriolet,2005,102997.76,Gasoline,1078585
Lexus,GX 470 Base,2004,247838.36,Gasoline,830000
Lexus,NX 200t Base,2015,86904.36,Gasoline,2241000
Dodge,Dakota SLT Quad Cab,2007,374158.68,Gasoline,498000
Maserati,Ghibli S Q4 GranSport,2020,41393.83,Gasoline,4369535
Land,Rover Discovery Sport SE R-Dynamic,2020,33678.66,Gasoline,2987834
Aston,Martin DBX Base,2021,3786.78,Gasoline,13238500
Audi,Q3 45 S line Premium,2022,15007.1,Gasoline,2789630
Ford,Explorer XLT,2020,98171.35,Gasoline,2375128
Mercedes-Benz,AMG GLC 63 Base 4MATIC,2018,115811.33,Gasoline,3892700
Subaru,BRZ Premium,2023,9334.17,Gasoline,2489170
BMW,640 i,2016,64502.35,Gasoline,2365417
Kia,Stinger GT2,2020,91732.38,Gasoline,3029500
Chevrolet,Bolt EUV Premier,2022,12269.61,,2654755
Subaru,Forester 2.5 XT,2004,196339.48,Gasoline,829917
Kia,Sportage X-Pro,2023,738.69,Gasoline,3070834
BMW,M4 Base,2016,100583.75,Gasoline,3361500
Hyundai,Equus Signature,2013,115872.48,Gasoline,1452500
Mercedes-Benz,AMG E 53 4MATIC,2020,13478.22,Gasoline,5801700
BMW,M550 i xDrive,2020,64373.6,Gasoline,4399000
Subaru,Impreza WRX STI,2014,123919.18,Gasoline,2490000
Mercedes-Benz,AMG G 63 Base,2019,31531.8,Gasoline,13279834
Mazda,Mazda6 Grand Touring,2020,57778.52,Gasoline,1906178
Hyundai,Veloster Base,2013,1287.47,Gasoline,813400
Bentley,Bentayga S,2023,4184.28,Gasoline,19919585
Land,Rover Defender X-Dynamic SE,2023,9984.35,Hybrid,6639834
Kia,Telluride SX,2020,111342.19,Gasoline,3104615
Maserati,GranTurismo Sport,2015,72420.3,Gasoline,3477700
BMW,540 i xDrive,2020,60231.16,Gasoline,3319834
INFINITI,M56 Base,2011,220479.58,Gasoline,705500
Mazda,Mazda3 s Grand Touring,2016,136793.9,–,1535500
Chevrolet,Corvette Stingray w/1LT,2023,6437.36,Gasoline,6133700
Audi,Q5 S line Premium Plus,2023,7480.21,Hybrid,3950634
Lexus,GX 460 Base,2018,83846.61,Gasoline,3154000
BMW,X1 sDrive28i,2014,80627.93,Gasoline,895985
Alfa,Romeo Stelvio Ti,2020,65982.94,Gasoline,2689200
RAM,1500 Big Horn,2021,114211.64,Gasoline,2822000
BMW,M4 Base,2015,42808.44,Gasoline,4399000
Tesla,Model X Long Range,2022,24853.04,,7013500
Volvo,S90 T5 Momentum,2018,152887.3,Gasoline,1494000
Subaru,Impreza WRX Sti,2005,151277.96,Gasoline,1618500
BMW,X6 xDrive40i,2020,72542.61,Gasoline,4813834
Cadillac,CTS 2.0L Turbo Luxury,2014,177027.4,Gasoline,913000
Land,Rover Discovery Sport HSE,2016,78991.24,Gasoline,1791970
Genesis,G90 5.0 Ultimate,2017,102193.09,Gasoline,2282500
Mercedes-Benz,CLK-Class CLK 350,2009,34600.81,Gasoline,1494000
Land,Rover Range Rover Autobiography,2023,521.43,Gasoline,16599834
Kia,Optima EX,2019,109702.27,Gasoline,1727894
Toyota,Highlander SE,2018,86271.89,Gasoline,2643799
Mercedes-Benz,Sprinter 4500 High Roof,2019,27057.83,Diesel,3809700
BMW,X1 xDrive28i,2020,29289.99,Gasoline,2448500
Audi,R8 5.2,2015,82076.34,Gasoline,8466000
Audi,S3 2.0T Tech Premium Plus,2018,26393.18,Gasoline,3552400
Toyota,Tundra Hybrid TRD Pro,2022,11265.38,Hybrid,6266500
Audi,SQ5 3.0T Premium Plus,2022,13674.56,Gasoline,4390700
Audi,A6 2.0T Premium Plus,2016,109435.12,Gasoline,1660000
Lamborghini,Huracan EVO Base,2022,4060.36,Gasoline,23978700
BMW,328 xi,2007,133575.22,Gasoline,746585
Audi,SQ5 3.0T Prestige,2018,40233.5,Gasoline,4150000
Cadillac,Escalade Sport Platinum,2021,25248.94,Diesel,8130016
BMW,M235 i,2014,201891.7,Gasoline,1427600
Kia,Telluride SX,2023,15806.94,Gasoline,4232834
Chevrolet,Express 3500 Base,2008,231744.96,Gasoline,1826000
GMC,Acadia SLE,2020,49728.61,Gasoline,2295282
BMW,X3 xDrive30i,2021,4010.48,Gasoline,3452634
Audi,TT 2.0T,2015,203999.94,Gasoline,1162000
Subaru,Outback 3.6R Touring,2017,162028.35,Gasoline,1701500
Mitsubishi,Eclipse Spyder GS,2001,145484.34,Gasoline,373085
Hyundai,Santa Fe SEL,2022,43283.2,Gasoline,2473400
BMW,M5 Base,2018,32991.47,Gasoline,5561000
Dodge,Ram 1500 ST,2011,215651.56,Gasoline,871500
Ford,Fusion Energi Titanium,2015,135751.05,Plug-In Hybrid,830000
Toyota,Tundra Hybrid TRD Pro,2022,30577.46,Hybrid,5893000
Land,Rover Range Rover Evoque Pure,2015,185959.24,Gasoline,1452500
Lincoln,Navigator Base,2009,308631.18,E85 Flex Fuel,809250
Ford,Mustang Mach-E Select,2023,1485.42,,3900834
Mercedes-Benz,Sprinter 3500 High Roof,2017,200572.04,Diesel,6225000
Mercedes-Benz,AMG E 63 S 4MATIC,2019,27358.78,Gasoline,7885000
BMW,440 i xDrive,2018,118286.49,Gasoline,2656000
Acura,Integra LS,1998,193120.8,Gasoline,456500
Audi,Q7 55 Prestige,2019,118828.84,Gasoline,3016220
BMW,M6 Base,2014,47475.53,Gasoline,3402917
Volkswagen,Arteon 2.0T SE,2021,21907.95,Gasoline,2473234
Lexus,LX 600 F SPORT,2023,1907.07,Gasoline,10042170
INFINITI,Q40 Base,2015,230537.96,Gasoline,954500
BMW,Z4 3.0i Roadster,2006,74847.18,Gasoline,954500
BMW,M6 Base,2015,30015.8,Gasoline,4942567
BMW,X3 M40i,2019,58641.13,Gasoline,3319834
Kia,Sorento LX,2014,75040.31,Gasoline,1275129
Rivian,R1S Adventure Package,2023,9173.24,,7885000
BMW,Z4 sDrive28i,2015,92617.52,Gasoline,2489585
Cadillac,CTS-V Base,2017,78213.92,Gasoline,5062917
Ford,Transit Connect XL,2020,191511.46,Gasoline,1494000
Land,Rover Range Rover Velar SVAutobiography Dynamic Edition,2020,58740.91,Gasoline,5976000
Lexus,IS 250 Base,2010,195132.48,Gasoline,1099750
BMW,X7 xDrive40i,2023,3921.96,Hybrid,6503050
Volvo,XC90 T6 Momentum,2018,177638.95,Gasoline,1826000
Hyundai,Tucson Limited,2008,239791.66,Gasoline,319550
Dodge,Durango GT,2021,23631.55,Gasoline,3153585
Mercedes-Benz,AMG C 43 Base 4MATIC,2017,62764.26,Gasoline,3237000
GMC,Yukon XL SLT,2019,104948.28,Gasoline,3568585
Audi,RS Q8 4.0T,2020,67360.54,Gasoline,7594500
Rivian,R1S Adventure Package,2023,1054.12,,7843500
Toyota,RAV4 Hybrid XLE,2019,86904.36,Hybrid,2739000
Alfa,Romeo Stelvio Quadrifoglio,2019,42647.51,Gasoline,4473700
Land,Rover Range Rover Evoque SE,2020,61727.85,Gasoline,3037634
Alfa,Romeo Stelvio Ti Sport,2020,34579.89,Gasoline,2933635
Cadillac,Escalade EXT Base,2007,159324.66,Gasoline,1908917
Ford,F-250 Lariat,2019,57287.68,E85 Flex Fuel,3963748
